# requirements.txt
# Core project dependencies with verified compatible versions
# Last updated: 2024-03-19

# Core Dependencies
Flask==3.0.2                # Web framework
Flask-SQLAlchemy==3.1.1     # ORM integration
Flask-Migrate==4.0.5        # Database migrations
Flask-CORS==4.0.0          # Cross-origin support
SQLAlchemy==2.0.28         # Database ORM
python-dotenv==1.0.1       # Environment configuration
APScheduler==3.10.4        # Background task scheduling

# Media Processing
ffmpeg-python==0.2.0       # Video processing
python-magic==0.4.27       # File type detection
Pillow==10.2.0            # Image processing

# Security
PyJWT==2.8.0              # JSON Web Tokens
Flask-Talisman==1.1.0     # Security headers

# Caching and Performance
redis==5.0.1              # Cache backend
Flask-Caching==2.1.0      # Flask cache integration

# Development Tools
pytest==8.0.2             # Testing framework
black==24.2.0             # Code formatting
flake8==7.0.0            # Code linting
ipython==8.17.2          # Interactive shell

# Utilities
requests==2.31.0          # HTTP client
python-dateutil==2.8.2    # Date handling
psutil==5.9.8            # System utilities

# Production
gunicorn==21.2.0         # WSGI server
gevent==23.9.1           # Async worker

# AI/ML Features
torch==2.1.2             # Machine learning
transformers==4.36.2     # NLP tools
scenedetect==0.6.2       # Video scene detection

# Logging and Monitoring
structlog==24.1.0        # Structured logging
sentry-sdk==1.40.0       # Error tracking

# Testing
pytest-cov==4.1.0        # Test coverage

# Note: All versions have been tested together and verified working
# Required system packages: ffmpeg
# Python version: 3.11.x
